Date	Serial	Power	Repetition rate	Wavelength	PER	Threshold
2019-09-12 14:14:20.253	K0001493	3.93	78.04876901	1065.01	23.65	109.1
2019-09-12 14:37:15.757	K0001491	3.6	78.11099436	1064.85	28.13	80.5
2019-09-12 15:03:10.237	K0001496	3.502	78.01845495	1065.39	18.92	79.5
2019-09-12 15:17:30.013	K0001492	3.39	78.09936342	1064.8	24.32	98
2019-09-13 07:47:04.763	K0001494	3.45	78.11131534	1064.91	22.26	85.8
2019-09-13 08:05:20.647	K0001495	3.612	78.05419543	1065.01	19.65	79.4
2019-09-13 09:40:00.643	K0001499	3.68	78.16340384	1064.88	29.26	84.9
2019-09-13 10:27:21.850	K0001498	3.16	78.09165926	1064.96	25.98	97.7
2019-09-13 13:52:19.827	K0001501	3.29	78.14842275	1065.12	23.92	97.4
2019-09-13 14:20:26.917	K0001502	3.33	78.11459995	1064.83	18.23	84.3
2019-09-13 14:32:05.210	K0001497	3.71	78.09959789	1064.92	24.15	82.4
2019-10-15 08:26:54.090	K0003596	3.33	78.11151286	1065	22.07	78.2
2019-10-15 10:13:36.027	K0003594	3.42	78.09396296	1065.06	24.79	74.8
2019-10-15 11:04:12.683	K0003591	3.33	78.10309622	1064.84	27.56	69.2
2019-10-15 15:07:17.723	K0003595	3.27	78.12519888	1066.39	26.51	76.6
2019-10-15 15:13:13.690	K0003593	3.27	78.09811012	1065.37	21.17	70.6
2019-10-16 06:56:39.350	K0003592	3.39	78.10236941	1064.87	26.32	76.2
2019-10-16 07:52:32.410	K0002121	3.03	78.1225199	1065.11	22.37	70.4
2019-10-16 08:47:12.750	K0002126	3.404	78.12900781	1064.97	31	80.3
2019-10-16 11:25:33.183	K0002122	3.45	78.11555037	1064.94	22.8	79.8
2019-10-16 12:54:12.287	K0002125	1.9554	78.15428668	1064.89	27.77	80.9
2019-10-16 13:45:42.633	K0002123	3.53	78.10982902	1064.92	22.79	86.8
2019-10-16 14:27:04.270	K0002124	3.64	78.15274604	1064.85	22.44	69.3
2019-10-25 09:11:12.473	K0003703	3.39	78.11164289	1065.03	25.65	93.5
2019-10-25 09:54:16.633	K0003706	3.68	78.15425693	1064.96	25.23	68.2
2019-10-25 10:53:14.850	K0003705	3.54	78.17592968	1064.83	26.81	73.8
2019-10-25 11:58:14.723	K0003707	2.88	78.14124911	1064.8	23.88	72.6
2019-10-25 13:47:45.613	K0003704	3.51	78.13011775	1064.82	20.48	72.5
2019-10-25 14:24:53.207	K0003708	3.37	78.15311479	1065.01	23.22	71.9
2019-10-31 10:29:42.830	K0003790	3.44	78.09391114	1064.82	22.06	85.4
2019-10-31 11:16:26.943	K0004231	3.43	78.11908843	1064.78	28.2	68.7
2019-10-31 12:50:36.737	K0004232	3.65	78.14729162	1064.95	23.12	72.9
2019-10-31 13:41:12.270	K0004233	3.56	78.12534811	1064.77	23.37	80.6
2019-11-01 07:19:12.107	K0004234	3.25	78.09019641	1064.83	21.44	81.4
2019-11-01 08:07:11.130	K0004235	3.68	78.11787127	1064.86	24.88	78.7
2019-11-01 09:20:45.223	K0005088	3.23	78.11997626	1064.93	27.04	74.4
2019-11-01 10:17:55.457	K0005090	3.614	78.10315196	1064.8	31.49	71.5
2019-11-01 11:27:11.433	K0005089	3.468	78.12922171	1065.05	24.17	70.1
2019-11-01 12:48:14.800	K0005092	3.41	77.82990915	1064.88	29.09	85
2019-11-04 09:14:49.997	K0005093	3.24	38.06880142	1064.92	19.84	72.3
2019-11-04 10:01:40.423	K0005091	3.52	20.93196093	1064.88	22.06	77.8
2019-11-04 10:49:12.157	K0005557	3.1	50.40285266	1064.86	23.46	63.8
2019-11-04 11:33:23.850	K0005560	3.5	78.4163604	1065.14	29.98	76.5
2019-11-04 14:27:11.030	K0005559	3.21	4.25E-06	1064.8	31.03	65
2019-11-04 14:41:58.733	K0005558	3.27	78.05910839	1064.82	32.64	66
2019-11-05 08:45:15.517	K0005556	3.3	78.14739599	1064.87	28.78	77.9
2019-11-05 13:10:17.577	K0005370	3.486	78.13168999	1065.22	23.59	74.8
2019-11-15 08:40:50.993	K0006348	2.95	78.10915187	1065.06	26.64	68.5
2019-11-15 10:18:21.657	K0006346	3.56	78.1118359	1065.12	32.41	83.9
2019-11-15 11:05:32.600	K0006347	3.28	78.12747099	1065	24.8	68.3
2019-11-15 12:08:25.277	K0006345	2.2056	78.33530831	1064.97	28.08	83.6
2019-11-15 13:46:15.083	K0006344	2.3692	78.11244575	1064.93	32.15	93
2019-11-18 10:06:02.980	K0006351	3.24	78.15022956	1064.92	26.76	66.5
2019-11-18 13:21:13.090	K0006353	2.76	78.12793798	1065.41	28.27	71
2019-11-18 14:18:14.853	K0006354	3.29	78.11512288	1064.94	27.14	70.4
2019-11-21 10:36:47.290	K0006355	3.24	78.09377064	1064.92	31.5	78
2019-11-21 13:25:27.023	K0006352	3.4	78.08504651	1064.96	24.03	71.8
2019-11-22 08:43:04.720	K0006350	2.4856	78.1267015	1065.02	24.26	70.1
2019-11-22 10:28:22.033	K0006764	3.27	9.91E+31	1064.9	28.71	77.3
2019-11-22 14:03:45.060	K0006763	3.22	78.12282588	1064.93	23.53	100.5
2019-11-23 08:36:15.003	K0006768	3.54	78.10401457	1064.95	29.82	79.5
2019-11-23 09:20:37.737	K0006765	1.72	78.14653307	1064.96	22.81	71.8
2019-11-23 10:29:17.663	K0006767	3.18	78.11829079	1064.97	28.25	78.5
2019-11-27 08:29:23.850	K0006769	3.26	78.11803821	1064.93	25.23	69.8
2019-11-27 09:10:38.517	K0006774	3.38	78.09518153	1064.99	0	70.7
2019-11-27 10:24:47.160	K0006772	3.33	78.12787786	1064.94	27.62	79.1
2019-11-27 11:06:15.493	K0006771	3.42	78.1315415	1064.96	25.75	70.6
2019-11-27 11:40:31.430	K0006770	3.43	78.1094495	1065.21	27.76	75.2
2019-11-27 12:56:11.033	K0006773	3.41	78.13179718	1065.23	26.59	72.7
2019-12-05 10:46:59.477	K0007876	3.1	78.1232947	1064.95	26.71	77.9
2019-12-05 11:20:22.100	K0007875	3.4	78.14408103	1064.87	18.9	84.8
2019-12-05 12:42:02.827	K0007872	3.37	78.07666319	1064.87	32.15	68.4
2019-12-05 14:32:29.383	K0007871	3.06	78.07319164	1064.94	27.86	69.1
2019-12-05 15:17:41.663	K0007874	3.23	78.0996869	1064.97	31.51	89.8
2019-12-06 06:55:13.707	K0007873	2.72	78.1576621	1065.56	31.9	69.1
2019-12-06 07:52:40.627	K0007882	3	78.12007345	1065.13	25.86	105.7
2019-12-06 11:02:21.403	K0007877	3.66	78.12248333	1065.13	29.67	87.3
2019-12-06 14:10:48.540	K0007880	3.48	78.07627975	1063.63	33.54	69.3
2019-12-06 14:50:07.777	K0007878	3.394	78.08417615	1065.32	33.53	67.6
2019-12-09 14:08:34.977	K0007881	3.68	78.13474585	1065.27	22.52	84.1
